,1to3,4,5to7,8,9to10,11to12
0,276.885036,141.4330335,433.24504584000005,139.55647140000002,199.63971872,144.3779667
1,282.6849105,134.8234074,416.12895990000004,112.89479890000001,194.78156672,139.0167603
2,277.04401,134.593371,420.69663866217564,130.08560310000001,195.86040931616643,138.5382042
3,289.0454865,147.0613122,450.97760211813636,153.48514540000002,206.99180974272278,150.9042546
4,265.955927,136.3184163,412.9314431465043,124.8243257,191.96610574535103,134.870175
5,275.0948615,139.27933800000002,429.2456677597969,137.29929940000002,198.1488756688135,142.72172640000002
6,276.0132343,140.62853970000003,431.72742900393655,138.7606297,199.04354224858773,143.773542
7,278.25900970000004,158.1793587,456.490549935196,162.71027320000007,207.66717709756057,150.37687170000004
8,294.51620199999996,136.5817068,425.6934047678158,122.59283409999999,199.77462042445575,140.7856428
9,281.0924233,121.5044028,412.16212472394494,131.908857,193.9199626877066,134.352603
10,284.2239485,143.20278720000002,440.50198335749405,156.6530342,203.83703743339396,142.01458920000002
11,268.5116815,136.3276332,414.31084113572405,114.50779616,192.00882130838045,139.7626164
12,275.1336455,138.3858234,427.1505958149953,135.6848895,197.5377525687695,141.63092459999996
13,276.075016,139.94443979999994,430.0593862969467,137.37943620000001,198.55822944412012,142.9213203
14,279.27538280000005,141.5795139,451.97083894690013,161.1975385,205.4833099903705,154.38376799999998
15,285.8645824,127.1965662,417.532180504035,115.93403064000002,195.26263836161115,142.1976204
16,282.0618617,135.1496223,417.99922452032433,129.98700715,196.2694818154862,134.04258449999998
17,294.203708,137.0601936,431.459909822841,149.3445188,202.81240609502362,135.7913502
18,273.78792150000004,135.77463899999998,417.4756732087737,121.2264755,194.06681053810516,139.10726609999998
19,276.37326900000005,138.32888849999998,427.3266228708828,135.46549430000002,197.78431850926643,141.5774745
