,1to3,4,5to7,8,9to10,11to12
0,271.40216399999997,144.2902665,441.3430840800001,145.9581444,205.39855676,144.3779667
1,277.0871895,137.5471126,423.90707130000004,118.07345939999999,200.40026576,139.0167603
2,271.55798999999996,137.312429,428.5601272353004,136.0528326,201.51022881567124,138.5382042
3,283.3218135,150.03224780000002,459.407090008195,160.5257484,212.9627273314552,150.9042546
4,260.689473,139.0723237,420.6497878782147,130.55021219999998,197.50358956492846,134.870175
5,269.6474385,142.093062,437.26895126932584,143.59743239999997,203.86470862079852,142.72172640000002
6,270.5476257,143.46952030000006,439.79710057410364,145.1257962,204.78518289037393,143.773542
7,272.74893030000004,161.3749013,465.02308357884453,170.17404720000005,213.65757643691327,150.37687170000004
8,288.684198,139.3409332,433.6502908382423,128.21635859999998,205.5373498597766,140.7856428
9,275.52623669999997,123.9590372,419.8660896720561,137.959722,199.5138077652366,134.352603
10,278.5957515,146.0957728,448.73566528940984,163.8389532,209.71695197474187,142.01458920000002
11,263.19461850000005,139.08172679999998,422.05496900741986,119.76044735999999,197.54753730766066,139.7626164
12,269.68545450000005,141.1814966,435.1347191012569,141.908967,203.2359569697917,141.63092459999996
13,270.60818400000005,142.77160019999997,438.09787949875874,143.68124519999998,204.2858706780851,142.9213203
14,273.7451772,144.43970610000002,460.4188920113282,168.59192099999999,211.41071316316965,154.38376799999998
15,280.2038976,129.7661938,425.3365203265404,121.25210544,200.8952144681961,142.1976204
16,276.47647830000005,137.8799177,425.8122941375267,135.9497139,201.93110148324058,134.04258449999998
17,288.377892,139.8290864,439.5245810344829,156.1951848,208.6627639631493,135.7913502
18,268.3663785,138.517561,425.27895682015264,126.78732299999999,199.66489161131975,139.10726609999998
19,270.900531,141.1234115,435.3140363824881,141.67950779999998,203.48963538934143,141.5774745
