,1to3,4,5to7,8,9to10,11to12
0,257.694984,141.4330335,433.24504584000005,138.27613680000002,195.80049336,138.5445135
1,263.092887,134.8234074,416.12895990000004,111.85906680000001,191.03576736,133.39992149999998
2,257.84294,134.593371,420.69663866217564,128.8921572,192.0938629831632,132.940701
3,269.012631,147.0613122,450.97760211813636,152.0770248,203.0111980169012,144.807113
4,247.523338,136.3184163,412.9314431465043,123.6791484,188.27444986563273,129.420875
5,256.028881,139.27933800000002,429.2456677597969,136.0396728,194.33832036749018,136.955192
6,256.88360420000004,140.62853970000003,431.72742900393655,137.4875964,195.21578182073029,137.96451
7,258.9737318,158.1793587,456.490549935196,161.21751840000005,203.6735775379921,144.30103850000003
8,274.10418799999997,136.5817068,425.6934047678158,121.46812919999999,195.93280080090852,135.097334
9,261.6107702,121.5044028,412.16212472394494,130.69868400000001,190.19073263601993,128.924215
10,264.525259,143.20278720000002,440.50198335749405,155.2158504,199.9170944058287,136.276626
11,249.901961,136.3276332,414.31084113572405,113.45726592,188.316343975527,134.115642
12,256.064977,138.3858234,427.1505958149953,134.440074,193.73894963475468,135.90846299999995
13,256.941104,139.94443979999994,430.0593862969467,136.11907440000002,194.7398019548101,137.14672149999998
14,259.9196632,141.5795139,451.97083894690013,159.71866200000002,201.53170787517107,148.14603999999997
15,266.0521856,127.1965662,417.532180504035,114.87041568000001,191.50758762388784,136.452262
16,262.5130198,135.1496223,417.99922452032433,128.7944658,192.4950687036499,128.62672249999997
17,273.81335199999995,137.0601936,431.459909822841,147.9743856,198.91216751627314,130.304831
18,254.812521,135.77463899999998,417.4756732087737,120.114306,190.33475648929544,133.48677049999998
19,257.218686,138.32888849999998,427.3266228708828,134.22269160000002,193.98077392254976,135.8571725
