,1to3,4,5to7,8,9to10,11to12
0,252.212112,141.4330335,421.09798848,130.59412920000003,188.12204264,128.3359704
1,257.49516600000004,134.8234074,404.4617928,105.64467420000001,183.54416863999998,123.57045359999998
2,252.35692,134.593371,408.90140580248845,121.7314818,184.56077031715682,123.1450704
3,263.28895800000004,147.0613122,438.3333702830484,143.6283012,195.049974565258,134.1371152
4,242.256884,136.3184163,401.3539260489388,116.8080846,180.89113810619614,119.88459999999999
5,250.581458,139.27933800000002,417.2107424955035,128.4819132,186.7172097648435,126.8637568
6,251.41799560000004,140.62853970000003,419.622921648686,129.8493966,187.56026096501535,127.798704
7,253.46365240000006,158.1793587,443.69174946972316,152.26098960000004,195.68637841885513,133.66833040000003
8,268.272184,136.5817068,413.7580756621761,114.71989979999998,188.24916155381408,125.14279359999999
9,256.0445836,121.5044028,400.60617730177825,123.43764600000002,182.7322725326466,119.424536
10,258.897062,143.20278720000002,428.15146045962035,146.5927476,192.07720835069816,126.23519040000001
11,244.58489800000004,136.3276332,402.6946493281804,107.15408448,180.93138930982002,124.2334368
12,250.61678600000005,138.3858234,415.17441088560287,126.971181,186.1413437667251,125.89415519999996
13,251.47427200000004,139.94443979999994,418.0016464942285,128.5569036,187.10294697619008,127.0411736
14,254.38945760000004,141.5795139,439.2987593502581,150.845403,193.62850364477217,137.230016
15,260.3915008,127.1965662,405.82567077027704,108.48872592000001,183.99748614844128,126.3978848
16,256.92763640000004,135.1496223,406.27962009452085,121.6392177,184.94624247997734,119.14896399999999
17,267.987536,137.0601936,419.36290300537814,139.7535864,191.11169035877225,120.70342240000001
18,249.39097800000002,135.77463899999998,405.7707477917053,113.441289,182.870648391676,123.65090319999999
19,251.74594800000003,138.32888849999998,415.34550260347487,126.7658754,186.37368474911642,125.84664400000001
