,1to3,4,5to7,8,9to10,11to12
0,257.694984,140.004417,412.99995024000003,130.59412920000003,190.04165532,134.16942360000002
1,263.092887,133.4615548,396.6836814,105.64467420000001,185.41706832,129.1872924
2,257.84294,133.233842,401.0379172293637,121.7314818,186.44404348365842,128.74257360000001
3,269.012631,145.57584440000002,429.9038823929898,143.6283012,197.0402804281688,140.2342568
4,247.523338,134.9414626,393.6355813172284,116.8080846,182.7369660460553,125.3339
5,256.028881,137.872476,409.1874589859746,128.4819132,188.62248741550516,132.63029120000002
6,256.88360420000004,139.20804940000005,411.55325007851894,129.8493966,189.47414117894408,133.607736
7,258.9737318,156.5815874,435.15921582607467,152.26098960000004,197.68317819863938,139.74416360000004
8,274.10418799999997,135.2020936,405.8011895917497,114.71989979999998,190.1700713655877,130.8311024
9,261.6107702,120.27708559999999,392.90221235366715,123.43764600000002,184.59688755848993,124.852924
10,264.525259,141.7562944,419.91777852770457,146.5927476,194.03717986448078,131.97315360000002
11,249.901961,134.9505864,394.95052145648464,107.15408448,182.77762797624678,129.88041120000003
12,256.064977,136.9879868,407.1902875993413,126.971181,188.04074523373248,131.61661679999997
13,256.941104,138.53085959999996,409.96315329241645,128.5569036,189.0121607208451,132.81577240000001
14,259.9196632,140.1494178,430.85070628583003,150.845403,195.6043047023719,143.467744
15,266.0521856,125.9117524,398.0213309477717,108.48872592000001,185.8750115173029,132.1432432
16,262.5130198,133.7844746,398.46655047731855,121.6392177,186.83344903589548,124.564826
17,273.81335199999995,135.6757472,411.29823179373625,139.7535864,193.06180964814746,126.18994160000001
18,254.812521,134.403178,397.9674641803263,113.441289,184.73667541608086,129.2713988
19,257.218686,136.931627,407.35808909186954,126.7658754,188.27545704247476,131.566946
