,1to3,4,5to7,8,9to10,11to12
0,257.694984,140.004417,412.99995024000003,129.31379460000002,184.28281728,138.5445135
1,263.092887,133.4615548,396.6836814,104.60894210000001,179.79836927999997,133.39992149999998
2,257.84294,133.233842,401.0379172293637,120.5380359,180.7942239841536,132.940701
3,269.012631,145.57584440000002,429.9038823929898,142.2201806,191.06936283943642,144.807113
4,247.523338,134.9414626,393.6355813172284,115.6629073,177.19948222647784,129.420875
5,256.028881,137.872476,409.1874589859746,127.2222866,182.90665446352017,136.955192
6,256.88360420000004,139.20804940000005,411.55325007851894,128.5763633,183.7325005371579,137.96451
7,258.9737318,156.5815874,435.15921582607467,150.76823480000004,191.69277885928665,144.30103850000003
8,274.10418799999997,135.2020936,405.8011895917497,113.59519489999998,184.40734193026685,135.097334
9,261.6107702,120.27708559999999,392.90221235366715,122.227473,179.00304248095992,128.924215
10,264.525259,141.7562944,419.91777852770457,145.1555638,188.1572653231329,136.276626
11,249.901961,134.9505864,394.95052145648464,106.10355424,177.23891197696656,134.115642
12,256.064977,136.9879868,407.1902875993413,125.7263655,182.34254083271028,135.90846299999995
13,256.941104,138.53085959999996,409.96315329241645,127.2965418,183.28451948688007,137.14672149999998
14,259.9196632,140.1494178,430.85070628583003,149.36652650000002,189.67690152957275,148.14603999999997
15,266.0521856,125.9117524,398.0213309477717,107.42511096,180.24243541071797,136.452262
16,262.5130198,133.7844746,398.46655047731855,120.44667635,181.17182936814106,128.62672249999997
17,273.81335199999995,135.6757472,411.29823179373625,138.3834532,187.21145178002178,130.304831
18,254.812521,134.403178,397.9674641803263,112.3291195,179.1385943428663,133.48677049999998
19,257.218686,136.931627,407.35808909186954,125.5230727,182.57014016239975,135.8571725
