,1to3,4,5to7,8,9to10,11to12
0,263.17785599999996,140.004417,421.09798848,134.43513300000004,190.04165532,134.16942360000002
1,268.690608,133.4615548,404.4617928,108.75187050000001,185.41706832,129.1872924
2,263.32896,133.233842,408.90140580248845,125.3118195,186.44404348365842,128.74257360000001
3,274.736304,145.57584440000002,438.3333702830484,147.852663,197.0402804281688,140.2342568
4,252.78979199999998,134.9414626,401.3539260489388,120.2436165,182.7369660460553,125.3339
5,261.47630399999997,137.872476,417.2107424955035,132.260793,188.62248741550516,132.63029120000002
6,262.34921280000003,139.20804940000005,419.622921648686,133.6684965,189.47414117894408,133.607736
7,264.48381120000005,156.5815874,443.69174946972316,156.73925400000005,197.68317819863938,139.74416360000004
8,279.93619199999995,135.2020936,413.7580756621761,118.09401449999999,190.1700713655877,130.8311024
9,267.17695679999997,120.27708559999999,400.60617730177825,127.06816500000001,184.59688755848993,124.852924
10,270.153456,141.7562944,428.15146045962035,150.904299,194.03717986448078,131.97315360000002
11,255.21902400000002,134.9505864,402.6946493281804,110.3056752,182.77762797624678,129.88041120000003
12,261.513168,136.9879868,415.17441088560287,130.7056275,188.04074523373248,131.61661679999997
13,262.407936,138.53085959999996,418.0016464942285,132.337989,189.0121607208451,132.81577240000001
14,265.4498688,140.1494178,439.2987593502581,155.2820325,195.6043047023719,143.467744
15,271.7128704,125.9117524,405.82567077027704,111.67957080000001,185.8750115173029,132.1432432
16,268.0984032,133.7844746,406.27962009452085,125.21684175000001,186.83344903589548,124.564826
17,279.639168,135.6757472,419.36290300537814,143.863986,193.06180964814746,126.18994160000001
18,260.234064,134.403178,405.7707477917053,116.7777975,184.73667541608086,129.2713988
19,262.69142400000004,136.931627,415.34550260347487,130.4942835,188.27545704247476,131.566946
