,1to3,4,5to7,8,9to10,11to12
0,260.43642,140.004417,437.29406496000007,135.71546760000004,188.12204264,131.252697
1,265.8917475,133.4615548,420.0180156,109.78760260000001,183.54416863999998,126.37887299999998
2,260.58594999999997,133.233842,424.628382948738,126.5052654,184.56077031715682,125.943822
3,271.8744675,145.57584440000002,455.19234606316564,149.2607836,195.049974565258,137.185686
4,250.15656499999997,134.9414626,416.7906155123595,121.3887938,180.89113810619614,122.60924999999999
5,258.7525925,137.872476,433.25730951456137,133.5204196,186.7172097648435,129.747024
6,259.61640850000003,139.20804940000005,435.7622647890201,134.9415298,187.56026096501535,130.70322
7,261.72877150000005,156.5815874,460.75681675702026,158.23200880000005,195.68637841885513,136.70624700000005
8,277.02018999999996,135.2020936,429.67184780302904,119.21871939999998,188.24916155381408,127.986948
9,264.39386349999995,120.27708559999999,416.0141071980005,128.27833800000002,182.7322725326466,122.13873
10,267.3393575,141.7562944,444.6188243234519,152.3414828,192.07720835069816,129.104172
11,252.5604925,134.9505864,418.18290507157195,111.35620544,180.93138930982002,127.05692400000001
12,258.78907250000003,136.9879868,431.1426574581261,131.950443,186.1413437667251,128.75538599999996
13,259.67452000000003,138.53085959999996,434.0786328978527,133.59835080000002,187.10294697619008,129.928473
14,262.684766,140.1494178,456.1948654791142,156.76090900000003,193.62850364477217,140.34888
15,268.882528,125.9117524,421.4343504152877,112.74318576,183.99748614844128,129.270564
16,265.30571150000003,133.7844746,421.9057593289255,126.40938310000001,184.94624247997734,121.856895
17,276.72625999999997,135.6757472,435.49224542866193,145.2341192,191.11169035877225,123.44668200000001
18,257.5232925,134.403178,421.3773150144632,117.889967,182.870648391676,126.46115099999999
19,259.955055,136.931627,431.32032962668546,131.73708620000002,186.37368474911642,128.706795
